epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0633,2.86574,4.39464,2.12395,0.00494,0.07453,0.01618,0.0034,2.29639,4.19906,1.69238,0.00017776,0.00017776,0.00017776
2,20.5395,2.26317,3.54492,1.44417,0.01662,0.3149,0.11281,0.0383,2.01687,3.90409,1.35721,0.000363,0.000363,0.000363
3,26.6803,2.15071,2.26835,1.33873,0.02049,0.31918,0.14699,0.05168,1.99728,3.64797,1.35271,0.000544501,0.000544501,0.000544501
4,32.5078,1.97609,1.6831,1.33003,0.02603,0.32986,0.20258,0.08088,1.89423,3.40712,1.26655,0.000722262,0.000722262,0.000722262
5,38.4587,1.89487,1.44112,1.28432,0.93935,0.23425,0.33627,0.14592,1.88037,2.97958,1.2829,0.000896284,0.000896284,0.000896284
6,44.3831,1.82437,1.33709,1.27621,0.98658,0.17466,0.40666,0.18198,1.85419,2.59431,1.28427,0.00105601,0.00105601,0.00105601
7,50.2873,1.79179,1.25716,1.24872,0.92207,0.35575,0.48192,0.21822,1.84661,1.9728,1.2706,0.00104501,0.00104501,0.00104501
8,56.3324,1.78308,1.23378,1.28215,0.80525,0.46058,0.56663,0.251,1.79547,1.8047,1.27656,0.00103401,0.00103401,0.00103401
9,62.2918,1.77971,1.20705,1.26944,0.79552,0.56218,0.57504,0.25098,1.83915,1.4405,1.28856,0.00102301,0.00102301,0.00102301
10,68.2897,1.75112,1.15447,1.25182,0.78674,0.56981,0.59511,0.26184,1.81653,1.32,1.29092,0.00101201,0.00101201,0.00101201
11,74.2864,1.74274,1.13519,1.23141,0.77308,0.59315,0.63791,0.29138,1.75444,1.11982,1.25252,0.00100101,0.00100101,0.00100101
12,80.2868,1.68953,1.10935,1.2204,0.81307,0.58467,0.62297,0.29142,1.75886,1.0311,1.24449,0.000990012,0.000990012,0.000990012
13,86.1835,1.67791,1.04926,1.19258,0.8,0.64192,0.61576,0.28275,1.7688,1.03311,1.27323,0.000979013,0.000979013,0.000979013
14,92.0528,1.69013,1.04875,1.22573,0.8428,0.65367,0.66143,0.31308,1.7363,0.97046,1.25485,0.000968014,0.000968014,0.000968014
15,97.9805,1.66619,1.00268,1.20589,0.84686,0.64406,0.6758,0.31491,1.74168,1.02081,1.26831,0.000957015,0.000957015,0.000957015
16,103.986,1.70882,1.00055,1.21249,0.84246,0.6524,0.67677,0.3105,1.72698,0.97971,1.24647,0.000946016,0.000946016,0.000946016
17,109.915,1.65135,0.99998,1.20282,0.86222,0.64925,0.67719,0.31658,1.74201,0.95441,1.25256,0.000935018,0.000935018,0.000935018
18,115.848,1.64725,1.01051,1.17176,0.82054,0.65064,0.63476,0.29095,1.70671,1.00943,1.23747,0.000924019,0.000924019,0.000924019
19,121.844,1.62034,0.97776,1.17268,0.83396,0.67392,0.67498,0.31067,1.71306,0.97368,1.24048,0.00091302,0.00091302,0.00091302
20,127.769,1.61027,0.96263,1.1877,0.65188,0.64974,0.67473,0.32009,1.72975,0.91884,1.23309,0.000902021,0.000902021,0.000902021
21,133.733,1.63095,0.94072,1.18482,0.64172,0.67633,0.70525,0.33338,1.68445,0.90908,1.21761,0.000891022,0.000891022,0.000891022
22,139.795,1.58718,0.91832,1.16685,0.66027,0.67488,0.69265,0.32035,1.72363,0.9281,1.2473,0.000880023,0.000880023,0.000880023
23,145.738,1.59938,0.90498,1.16473,0.64941,0.61496,0.67307,0.31881,1.73829,0.91313,1.24631,0.000869024,0.000869024,0.000869024
24,151.678,1.60364,0.91099,1.17505,0.65902,0.68578,0.68948,0.33241,1.68654,0.90451,1.2335,0.000858025,0.000858025,0.000858025
25,157.584,1.56994,0.87569,1.16445,0.66637,0.65512,0.70007,0.34501,1.689,0.89574,1.22476,0.000847026,0.000847026,0.000847026
26,163.566,1.5965,0.89849,1.16608,0.63584,0.69651,0.69137,0.33549,1.69374,0.89714,1.22694,0.000836027,0.000836027,0.000836027
27,169.434,1.59853,0.88911,1.15877,0.63855,0.68721,0.67985,0.33311,1.683,0.90405,1.22248,0.000825029,0.000825029,0.000825029
