epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0984,2.38794,2.19136,1.89768,0.53915,0.66815,0.5619,0.21794,2.06789,1.68411,1.8384,0.000408497,0.000408497,0.000408497
2,63.2073,2.02596,1.14395,1.63103,0.58839,0.67316,0.53386,0.23216,2.04334,1.75516,1.79285,0.00081692,0.00081692,0.00081692
3,91.8397,1.96696,1.04931,1.61742,0.67669,0.68812,0.71398,0.2931,2.06072,1.34422,1.81483,0.00121702,0.00121702,0.00121702
4,120.602,1.93819,0.99135,1.60252,0.71376,0.68815,0.68363,0.28507,2.09284,1.35071,1.79243,0.00121254,0.00121254,0.00121254
5,148.758,1.91371,0.96962,1.575,0.67438,0.74123,0.76472,0.35136,1.85008,1.1255,1.67121,0.00120005,0.00120005,0.00120005
6,177.341,1.87604,0.92475,1.54664,0.6896,0.77189,0.77724,0.35874,1.84255,0.91719,1.66425,0.00118756,0.00118756,0.00118756
7,205.918,1.86604,0.89072,1.55884,0.77706,0.84765,0.82425,0.39018,1.81725,0.86997,1.63529,0.00117507,0.00117507,0.00117507
8,234.931,1.86022,0.88513,1.53851,0.72201,0.6952,0.68562,0.30496,1.94666,1.1984,1.722,0.00116259,0.00116259,0.00116259
9,263.109,1.82038,0.86941,1.5376,0.7258,0.67652,0.76329,0.35294,1.87337,0.97259,1.66373,0.0011501,0.0011501,0.0011501
10,291.295,1.81922,0.8446,1.52726,0.75997,0.83717,0.81498,0.37717,1.84818,0.84525,1.68008,0.00113761,0.00113761,0.00113761
11,319.569,1.79849,0.83644,1.50693,0.77429,0.87497,0.83535,0.37659,1.85908,0.82724,1.68654,0.00112513,0.00112513,0.00112513
12,347.769,1.76701,0.82086,1.51992,0.7929,0.84682,0.82027,0.37358,1.92395,0.84334,1.73778,0.00111264,0.00111264,0.00111264
13,375.988,1.77037,0.80129,1.48207,0.7932,0.83439,0.8438,0.40274,1.79288,0.80975,1.61953,0.00110015,0.00110015,0.00110015
14,404.491,1.75241,0.81053,1.47838,0.78058,0.79426,0.8017,0.34912,1.92471,0.87517,1.69047,0.00108766,0.00108766,0.00108766
15,432.707,1.7711,0.79987,1.47166,0.74695,0.85644,0.85774,0.41378,1.77969,0.79815,1.60733,0.00107518,0.00107518,0.00107518
16,461.33,1.71227,0.77422,1.46077,0.69729,0.84325,0.8287,0.39723,1.82161,0.80455,1.62932,0.00106269,0.00106269,0.00106269
17,489.554,1.71857,0.77338,1.46901,0.77971,0.87956,0.84336,0.39516,1.81536,0.80099,1.63908,0.0010502,0.0010502,0.0010502
18,517.768,1.70226,0.75535,1.44949,0.81289,0.79214,0.8244,0.38067,1.87258,0.80843,1.67769,0.00103771,0.00103771,0.00103771
19,545.977,1.68974,0.75139,1.43233,0.739,0.81142,0.84633,0.38882,1.8496,0.82049,1.66545,0.00102523,0.00102523,0.00102523
20,574.154,1.67266,0.7326,1.44546,0.80299,0.8582,0.84566,0.40259,1.79786,0.74112,1.62153,0.00101274,0.00101274,0.00101274
21,602.389,1.65261,0.72936,1.43112,0.80194,0.85453,0.84674,0.3987,1.80483,0.76423,1.63055,0.00100025,0.00100025,0.00100025
22,630.584,1.65502,0.73034,1.42741,0.77702,0.82934,0.81178,0.37502,1.8244,0.79873,1.64761,0.000987763,0.000987763,0.000987763
23,658.794,1.66096,0.74021,1.39995,0.77058,0.83231,0.809,0.37424,1.88229,0.84952,1.68502,0.000975275,0.000975275,0.000975275
24,686.98,1.64005,0.72533,1.39602,0.77578,0.85926,0.83124,0.40645,1.78357,0.77396,1.61772,0.000962787,0.000962787,0.000962787
25,715.215,1.63175,0.71131,1.4076,0.79752,0.84827,0.82083,0.39735,1.78827,0.73932,1.62591,0.0009503,0.0009503,0.0009503
26,743.394,1.5998,0.69911,1.39032,0.79527,0.81372,0.84024,0.38166,1.87397,0.80084,1.68255,0.000937812,0.000937812,0.000937812
27,771.545,1.58484,0.68683,1.3897,0.77553,0.86598,0.84673,0.39675,1.83485,0.74703,1.68339,0.000925325,0.000925325,0.000925325
28,799.667,1.60946,0.70764,1.40588,0.78579,0.83262,0.82736,0.38291,1.86476,0.79143,1.69704,0.000912837,0.000912837,0.000912837
29,827.76,1.58376,0.69531,1.38632,0.80483,0.82856,0.82366,0.38728,1.85233,0.80167,1.67897,0.00090035,0.00090035,0.00090035
30,855.883,1.55701,0.66737,1.36583,0.79061,0.84231,0.83894,0.40443,1.83717,0.75158,1.67631,0.000887862,0.000887862,0.000887862
31,883.984,1.56742,0.6867,1.36952,0.78451,0.82659,0.81013,0.3779,1.84942,0.74724,1.67168,0.000875375,0.000875375,0.000875375
32,912.088,1.55351,0.67908,1.36582,0.79156,0.8623,0.82811,0.40918,1.78461,0.72961,1.64998,0.000862887,0.000862887,0.000862887
33,940.242,1.52269,0.65528,1.36952,0.8256,0.78736,0.82139,0.39794,1.81771,0.75694,1.673,0.0008504,0.0008504,0.0008504
34,968.449,1.52929,0.65662,1.34196,0.76073,0.8152,0.82492,0.3944,1.8752,0.8087,1.70857,0.000837912,0.000837912,0.000837912
35,996.655,1.56671,0.673,1.3655,0.81835,0.78876,0.8201,0.37833,1.93405,0.79968,1.74323,0.000825425,0.000825425,0.000825425
36,1024.82,1.55137,0.66451,1.35577,0.82832,0.83491,0.84488,0.40482,1.79478,0.74401,1.65581,0.000812937,0.000812937,0.000812937
37,1052.94,1.54598,0.6634,1.35333,0.83933,0.82833,0.85601,0.42584,1.81465,0.77536,1.66173,0.00080045,0.00080045,0.00080045
38,1081.42,1.5078,0.64538,1.32859,0.78334,0.82329,0.81706,0.39864,1.81152,0.75814,1.66571,0.000787962,0.000787962,0.000787962
39,1109.55,1.49736,0.64236,1.30995,0.79283,0.87966,0.8481,0.41269,1.80239,0.75136,1.66428,0.000775475,0.000775475,0.000775475
40,1137.7,1.48249,0.62841,1.32824,0.80696,0.84566,0.83811,0.40708,1.8214,0.76743,1.69672,0.000762987,0.000762987,0.000762987
41,1165.84,1.47602,0.62878,1.30637,0.81483,0.78682,0.8279,0.4034,1.87305,0.76269,1.7188,0.0007505,0.0007505,0.0007505
42,1193.99,1.46679,0.6254,1.31213,0.81341,0.82063,0.82566,0.40909,1.78766,0.7289,1.66798,0.000738013,0.000738013,0.000738013
43,1222.06,1.47225,0.62161,1.30302,0.79492,0.84014,0.83516,0.40651,1.84785,0.73816,1.68887,0.000725525,0.000725525,0.000725525
44,1250.25,1.44073,0.60993,1.31087,0.79954,0.8223,0.81621,0.39592,1.80965,0.75272,1.6829,0.000713038,0.000713038,0.000713038
45,1278.41,1.43323,0.61246,1.28428,0.81821,0.83837,0.8357,0.40838,1.81958,0.72233,1.71653,0.00070055,0.00070055,0.00070055
46,1306.57,1.43097,0.60679,1.27382,0.85355,0.80805,0.83557,0.40526,1.82887,0.71903,1.70364,0.000688062,0.000688062,0.000688062
47,1334.72,1.43416,0.60821,1.28658,0.8263,0.81134,0.83793,0.39959,1.86279,0.72983,1.72828,0.000675575,0.000675575,0.000675575
48,1362.84,1.40589,0.5994,1.26718,0.85292,0.82952,0.84382,0.42257,1.80042,0.71274,1.70547,0.000663087,0.000663087,0.000663087
49,1391,1.3942,0.5834,1.26689,0.83733,0.89363,0.85725,0.4176,1.80414,0.71563,1.72898,0.0006506,0.0006506,0.0006506
50,1419.17,1.4006,0.60352,1.28236,0.82584,0.83538,0.84167,0.40995,1.83019,0.74881,1.72541,0.000638112,0.000638112,0.000638112
51,1447.29,1.39519,0.58838,1.26885,0.85405,0.8356,0.85666,0.42438,1.802,0.73262,1.71041,0.000625625,0.000625625,0.000625625
52,1475.39,1.39502,0.59075,1.27691,0.83805,0.83151,0.85496,0.42006,1.80053,0.74875,1.7048,0.000613137,0.000613137,0.000613137
53,1503.55,1.36361,0.57236,1.25911,0.81948,0.84056,0.84816,0.42166,1.81274,0.71988,1.72715,0.00060065,0.00060065,0.00060065
54,1531.71,1.37535,0.57741,1.25941,0.83527,0.83578,0.85172,0.42626,1.80214,0.73542,1.71712,0.000588162,0.000588162,0.000588162
55,1559.82,1.35248,0.56768,1.24394,0.82999,0.84302,0.85869,0.41655,1.84301,0.74026,1.73969,0.000575675,0.000575675,0.000575675
56,1587.91,1.35521,0.56908,1.27085,0.85377,0.8127,0.83454,0.4182,1.83686,0.76352,1.74148,0.000563187,0.000563187,0.000563187
57,1616.04,1.35877,0.56456,1.24836,0.81562,0.81854,0.81262,0.40056,1.863,0.74214,1.76508,0.0005507,0.0005507,0.0005507
58,1644.12,1.36268,0.57075,1.27758,0.83586,0.7918,0.81261,0.40526,1.78941,0.71929,1.70378,0.000538213,0.000538213,0.000538213
59,1672.26,1.33453,0.55974,1.22372,0.82415,0.8455,0.83486,0.4059,1.82764,0.74234,1.743,0.000525725,0.000525725,0.000525725
60,1700.4,1.32683,0.55583,1.22012,0.83996,0.8483,0.84198,0.40845,1.82727,0.74359,1.74482,0.000513238,0.000513238,0.000513238
61,1728.61,1.30619,0.54558,1.21769,0.84296,0.83211,0.83505,0.4061,1.83748,0.76782,1.77751,0.00050075,0.00050075,0.00050075
62,1756.83,1.30727,0.55085,1.21551,0.83938,0.82836,0.82977,0.41081,1.8211,0.71305,1.74472,0.000488263,0.000488263,0.000488263
63,1785.02,1.30061,0.54464,1.21063,0.82762,0.8086,0.81621,0.38918,1.87248,0.78011,1.80512,0.000475775,0.000475775,0.000475775
64,1813.12,1.29791,0.55064,1.2057,0.85205,0.81546,0.8447,0.41707,1.78873,0.74165,1.75255,0.000463288,0.000463288,0.000463288
65,1841.31,1.28837,0.53346,1.20653,0.85868,0.80332,0.84398,0.40961,1.8381,0.71529,1.77556,0.0004508,0.0004508,0.0004508
66,1869.48,1.29794,0.5441,1.21567,0.82265,0.82423,0.84057,0.40433,1.84144,0.72696,1.78117,0.000438312,0.000438312,0.000438312
67,1897.62,1.2729,0.52907,1.20528,0.81216,0.83657,0.82978,0.40463,1.80786,0.72479,1.75398,0.000425825,0.000425825,0.000425825
68,1925.71,1.26209,0.52628,1.19682,0.81242,0.81601,0.82858,0.41149,1.80519,0.76037,1.77411,0.000413337,0.000413337,0.000413337
69,1953.83,1.26857,0.53022,1.19648,0.80579,0.83885,0.8281,0.40912,1.84848,0.74182,1.80226,0.00040085,0.00040085,0.00040085
70,1981.91,1.26181,0.52571,1.18213,0.86823,0.80256,0.84613,0.41868,1.81791,0.74714,1.78091,0.000388363,0.000388363,0.000388363
71,2009.99,1.23898,0.51637,1.18954,0.80833,0.82226,0.81135,0.39782,1.824,0.7578,1.79932,0.000375875,0.000375875,0.000375875
72,2038.19,1.23053,0.51152,1.17839,0.82447,0.7958,0.80632,0.39766,1.82855,0.74578,1.77664,0.000363388,0.000363388,0.000363388
73,2066.27,1.21931,0.506,1.17807,0.84412,0.8254,0.83421,0.41376,1.79326,0.73834,1.78247,0.0003509,0.0003509,0.0003509
74,2094.42,1.22305,0.51413,1.16668,0.83651,0.80369,0.83451,0.40681,1.82568,0.72863,1.79826,0.000338413,0.000338413,0.000338413
75,2122.59,1.21772,0.50265,1.1615,0.84611,0.81131,0.82958,0.41083,1.81844,0.74482,1.81742,0.000325925,0.000325925,0.000325925
76,2150.83,1.21528,0.51033,1.17623,0.85778,0.82376,0.8311,0.40503,1.82151,0.74257,1.83957,0.000313437,0.000313437,0.000313437
77,2179,1.18406,0.49512,1.1559,0.85163,0.81097,0.82804,0.40333,1.83211,0.74915,1.84131,0.00030095,0.00030095,0.00030095
78,2207.1,1.20768,0.49609,1.17,0.84872,0.79119,0.82518,0.39879,1.85278,0.77171,1.83138,0.000288462,0.000288462,0.000288462
79,2235.26,1.18172,0.49186,1.15268,0.83233,0.85978,0.84068,0.41407,1.84099,0.7434,1.86991,0.000275975,0.000275975,0.000275975
80,2263.43,1.17,0.48878,1.13431,0.85138,0.79461,0.82279,0.40983,1.81743,0.74706,1.81476,0.000263487,0.000263487,0.000263487
