epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7484,2.75453,4.22881,2.04646,0.00154,0.0272,0.00157,0.00028,2.14117,4.15064,1.65154,0.00017776,0.00017776,0.00017776
2,29.9536,2.14858,2.51977,1.39288,0.02852,0.09351,0.04427,0.0133,1.90696,3.97311,1.45001,0.000363,0.000363,0.000363
3,40.9252,1.91016,1.51692,1.29592,0.10116,0.45157,0.19307,0.08132,1.82569,3.71553,1.36066,0.000544501,0.000544501,0.000544501
4,51.681,1.79536,1.29192,1.28357,0.07199,0.53644,0.30093,0.13232,1.74718,3.48502,1.28256,0.000722262,0.000722262,0.000722262
5,62.628,1.78824,1.17231,1.2564,0.04731,0.58075,0.45991,0.19265,1.82307,3.03582,1.3408,0.000896284,0.000896284,0.000896284
6,73.481,1.75976,1.12383,1.26899,0.04767,0.55319,0.34927,0.15803,1.84054,2.85507,1.32831,0.00105601,0.00105601,0.00105601
7,84.1808,1.72309,1.06683,1.2323,0.94657,0.34262,0.58016,0.26216,1.7984,2.14842,1.30395,0.00104501,0.00104501,0.00104501
8,95.2487,1.72208,1.0711,1.26798,0.84549,0.49603,0.60399,0.2737,1.7736,1.72119,1.31228,0.00103401,0.00103401,0.00103401
9,106.296,1.69436,1.05213,1.24991,0.787,0.59393,0.60201,0.27773,1.84464,1.40002,1.38898,0.00102301,0.00102301,0.00102301
10,117.605,1.68093,1.01328,1.24283,0.77971,0.51758,0.60897,0.28084,1.79008,1.47814,1.35338,0.00101201,0.00101201,0.00101201
11,128.651,1.6613,1.01266,1.22316,0.5673,0.5792,0.59225,0.27469,1.80436,1.22685,1.34713,0.00100101,0.00100101,0.00100101
12,139.293,1.65852,0.97852,1.23723,0.59174,0.6151,0.60224,0.28103,1.84139,1.1173,1.38044,0.000990012,0.000990012,0.000990012
13,149.935,1.67442,0.9364,1.21883,0.65586,0.67468,0.69075,0.33256,1.79757,0.95498,1.38689,0.000979013,0.000979013,0.000979013
