epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9515,2.89918,4.37796,2.20429,2e-05,0.00054,1e-05,0,2.65479,4.37765,2.25055,0.00017776,0.00017776,0.00017776
2,15.522,2.36323,3.76215,1.605,0.00018,0.0049,0.0001,2e-05,2.42143,4.21928,1.921,0.000363,0.000363,0.000363
3,18.8209,2.22556,2.9305,1.42678,0.0892,0.282,0.10582,0.04171,2.14278,3.99524,1.61542,0.000544501,0.000544501,0.000544501
4,22.0289,2.12181,2.25448,1.39398,0.03487,0.36174,0.15013,0.06253,1.99371,3.69958,1.40674,0.000722262,0.000722262,0.000722262
5,25.2258,2.05437,1.78757,1.33076,0.3978,0.26629,0.23694,0.08832,2.05252,3.50399,1.46242,0.000896284,0.000896284,0.000896284
6,28.2046,1.98049,1.55922,1.31486,0.04896,0.50635,0.37196,0.15657,1.96416,3.10693,1.35694,0.00105601,0.00105601,0.00105601
7,31.2175,1.90258,1.44152,1.27684,0.90175,0.22587,0.39717,0.17986,1.86558,2.52459,1.32789,0.00104501,0.00104501,0.00104501
8,34.3554,1.89306,1.37674,1.30747,0.83301,0.44985,0.50221,0.20877,1.93596,1.8593,1.38712,0.00103401,0.00103401,0.00103401
9,37.5384,1.86206,1.34093,1.27896,0.80524,0.56846,0.59321,0.27328,1.85129,1.50803,1.31561,0.00102301,0.00102301,0.00102301
10,40.7911,1.79581,1.22341,1.25485,0.75276,0.54193,0.56984,0.26822,1.82893,1.50525,1.31905,0.00101201,0.00101201,0.00101201
11,43.8602,1.82193,1.22497,1.26064,0.81941,0.57498,0.60411,0.27991,1.84111,1.42094,1.33706,0.00100101,0.00100101,0.00100101
12,46.8872,1.76326,1.19994,1.24307,0.81115,0.52945,0.5507,0.25629,1.82507,1.66736,1.33864,0.000990012,0.000990012,0.000990012
13,49.9159,1.74455,1.12494,1.21416,0.80197,0.57187,0.59962,0.2903,1.7971,1.28063,1.32533,0.000979013,0.000979013,0.000979013
14,53.0137,1.72502,1.12276,1.23132,0.81797,0.58233,0.62125,0.29114,1.82119,1.18089,1.33085,0.000968014,0.000968014,0.000968014
15,56.2841,1.70181,1.0783,1.20739,0.79299,0.61394,0.62905,0.29782,1.79416,1.14706,1.29712,0.000957015,0.000957015,0.000957015
